"ecosystem","name","version","declared_license","scope","source","checksum"
"npm","@esbuild/aix-ppc64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.28.2.tgz","sha512-XExcO+dvLKvVtNTibSTBej1NCAbaGhWn9Ww1ZPx80qsahhPFe/8jgWP0IchNe0F3HwkU7n8ejhH8bjonqht8mQ=="
"npm","@esbuild/android-arm","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.28.2.tgz","sha512-kXXoiPVVGQcnIYGOeaovwOURpniDBpSq4A03qkQ+BMQqtGG6HYap3xne9C1O1yo4TR3qxlCX5IqqmX6fFo2Lqg=="
"npm","@esbuild/android-arm64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.28.2.tgz","sha512-5YfKeeI8qWfBZIX+u2xZC3Zlb3Os/gLS2sbEKM+I4ZOcsWmHS2WLysCcQZDAFRslDUU5Oiq44gf6PYN1vGwG5A=="
"npm","@esbuild/android-x64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.28.2.tgz","sha512-O387ite7SzUyCcy3JQX4P4bLtEA7bLLkx+esve5JHnyYfNTxcVpXZo9jhdB0lTKN44gztELTdU7nS8Nr16Fs1Q=="
"npm","@esbuild/darwin-arm64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.28.2.tgz","sha512-n4KqkOQrraxHJcgjM1RvwbigfQKIKJVpM7xp+KsxiyUSrRdIXnt73VhrPAx0fV44hgfmIVKjxMN9J1t5jySVkw=="
"npm","@esbuild/darwin-x64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.28.2.tgz","sha512-uq6suIWYP37qzGddBKPw5QEQPi6HiLGsO7UmkpfyaYNQ3D+rN6w6WfwH+nuqcGXWvawGwxOEroO4YGnFh95azw=="
"npm","@esbuild/freebsd-arm64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.28.2.tgz","sha512-n+I0BTSRIoy+d6RPKnEVwql5UwBJolytvY4mAOIEJorKlqgPII8ix6slVVrfZ5Tnj7glIZvloylbB/EJPMWEXw=="
"npm","@esbuild/freebsd-x64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.28.2.tgz","sha512-78XJTJkvPs0kz2w61301PJjXl4g7q3JqiYMZ/M/yVI73EHBrCRTgkhu9oqG7vPqq+a/yadEW8aD+agKlk5xrmg=="
"npm","@esbuild/linux-arm","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.28.2.tgz","sha512-XlDnu2q5yoqems+xay6wSAcg9DDD7K9RLKZEBOMZm3ckNpJBvOX20tSfby8KfrrhINDyv9V2YVZKY/SpoGJI8w=="
"npm","@esbuild/linux-arm64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.28.2.tgz","sha512-pW4AC0P3it8c7do9MVM4p51FzHzdM/TZrerurgRcHJ2WTa1VQ1CIq18xncfpBJw4ojkiZZrKW2yIBWBP92j6Ug=="
