"ecosystem","component","version","license","evidence","notice_files"
"cargo","toml_writer","1.1.2+spec-1.1.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","tracing","0.1.44","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","tracing-core","0.1.36","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","typeid","1.0.3","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","typenum","1.20.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE; LICENSE-MIT"
"cargo","unic-char-property","0.9.0","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)",""
"cargo","unic-char-range","0.9.0","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)",""
"cargo","unic-common","0.9.0","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)",""
"cargo","unic-ucd-ident","0.9.0","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)",""
"cargo","unic-ucd-version","0.9.0","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)",""
"cargo","unicode-segmentation","1.13.3","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","url","2.5.8","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","urlpattern","0.3.0","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","utf8_iter","1.0.4","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","uuid","1.25.0","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","walkdir","2.5.0","Unlicense/MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","COPYING; LICENSE-MIT"
"cargo","webview2-com","0.38.2","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)",""
"cargo","webview2-com-sys","0.38.2","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)",""
"cargo","winapi-util","0.1.11","Unlicense OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","COPYING; LICENSE-MIT"
"cargo","window-vibrancy","0.6.0","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT; LICENSE.spdx"
"cargo","windows","0.61.3","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows_x86_64_msvc","0.52.6","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows_x86_64_msvc","0.53.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-collections","0.2.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-core","0.61.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-future","0.2.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-link","0.2.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-link","0.1.3","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-numerics","0.2.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-result","0.3.4","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-strings","0.4.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-sys","0.61.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-sys","0.59.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-sys","0.60.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-targets","0.52.6","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-targets","0.53.5","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-threading","0.1.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","windows-version","0.1.7","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","license-mit"
"cargo","winnow","1.0.4","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","winreg","0.55.0","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","writeable","0.6.4","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","wry","0.55.1","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT; LICENSE.spdx"
"cargo","xz2","0.1.7","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","yoke","0.8.3","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","zerocopy","0.8.56","BSD-2-Clause OR Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-BSD; LICENSE-MIT"
"cargo","zerofrom","0.1.8","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","zeroize","1.9.0","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","zerotrie","0.2.5","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","zerovec","0.11.8","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","zip","2.4.2","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","zmij","1.0.23","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","zopfli","0.8.3","Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","COPYING"
"cargo","zstd","0.13.3","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","zstd-safe","7.2.4","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE; LICENSE.Mit"
"cargo","zstd-sys","2.0.16+zstd.1.5.7","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE; LICENSE.BSD-3-Clause; LICENSE.Mit"
"npm","react","19.2.8","MIT","importaciones de produccion + JS/worker real","LICENSE"
"npm","react-dom","19.2.8","MIT","importaciones de produccion + JS/worker real","LICENSE"
"npm","scheduler","0.27.0","MIT","importaciones de produccion + JS/worker real","LICENSE"
"npm","pdfjs-dist","6.3.289","Apache-2.0","importaciones de produccion + JS/worker real","LICENSE"
"npm","@tauri-apps/api","2.11.1","Apache-2.0 OR MIT","importaciones de produccion + JS/worker real","LICENSE_MIT"
"npm","@tauri-apps/plugin-dialog","2.7.2","MIT OR Apache-2.0","importaciones de produccion + JS/worker real","LICENSE.spdx"
"npm","@tauri-apps/plugin-opener","2.5.4","MIT OR Apache-2.0","importaciones de produccion + JS/worker real","LICENSE.spdx"
