"ecosystem","component","version","license","evidence","notice_files"
"cargo","dirs","6.0.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","dirs-sys","0.5.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","dpi","0.1.2","Apache-2.0 AND MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE; LICENSE-LIBM-MIT"
"cargo","dunce","1.0.5","CC0-1.0 OR MIT-0 OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","either","1.18.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","equivalent","1.0.2","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","erased-serde","0.4.10","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","event-listener","5.4.2","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","fallible-iterator","0.3.0","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","fallible-streaming-iterator","0.1.9","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","flate2","1.1.9","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","flume","0.11.1","Apache-2.0/MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","fnv","1.0.7","Apache-2.0 / MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","foldhash","0.1.5","Zlib","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","form_urlencoded","1.2.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","futures-channel","0.3.34","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","futures-core","0.3.34","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","futures-executor","0.3.34","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","futures-intrusive","0.5.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","futures-io","0.3.34","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","futures-sink","0.3.34","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","futures-task","0.3.34","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","futures-util","0.3.34","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","generic-array","0.14.7","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","getrandom","0.3.4","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","glob","0.3.4","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","hashbrown","0.17.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","hashbrown","0.15.5","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","hashbrown","0.14.5","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","hashlink","0.10.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","hashlink","0.9.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","heck","0.5.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","hmac","0.12.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","http","1.5.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","icu_collections","2.3.0","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","icu_locale_core","2.3.0","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","icu_normalizer","2.3.0","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","icu_normalizer_data","2.3.0","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","icu_properties","2.3.0","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","icu_properties_data","2.3.0","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","icu_provider","2.3.1","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","idna","1.1.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","idna_adapter","1.2.2","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","indexmap","2.14.0","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","infer","0.19.0","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","inout","0.1.4","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","itoa","1.0.18","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","json-patch","3.0.1","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","jsonptr","0.6.3","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","keyboard-types","0.7.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","libc","0.2.189","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","libsqlite3-sys","0.30.1","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","litemap","0.8.3","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","lock_api","0.4.14","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","log","0.4.34","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","lzma-rs","0.3.0","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","lzma-sys","0.1.20","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","memchr","2.8.3","Unlicense OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","COPYING; LICENSE-MIT"
"cargo","mime","0.3.17","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","miniz_oxide","0.8.9","MIT OR Zlib OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE; LICENSE-MIT.md; LICENSE-ZLIB.md"
"cargo","mio","1.2.2","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","muda","0.19.3","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT; LICENSE.spdx"
