"section","source","sha256"
"14","cargo brotli 8.0.4 / LICENSE.MIT","3d180008e36922a4e8daec11c34c7af264fed5962d07924aea928c38e8663c94"
"15","cargo bumpalo 3.20.3 / LICENSE-MIT","65f94e99ddaf4f5d1782a6dae23f35d4293a9a01444a13135a6887017d353cee"
"16","cargo bytes 1.12.1 / LICENSE","45f522cacecb1023856e46df79ca625dfc550c94910078bd8aec6e02880b3d42"
"17","cargo bzip2 0.5.2 / LICENSE-MIT","c8c6324cf2f0f076e3ed5dea4a21f00bd4dd6fce44f72b110bc52e7fe06f6e1e"
"17","cargo bzip2-sys 0.1.13+1.0.8 / LICENSE-MIT","c8c6324cf2f0f076e3ed5dea4a21f00bd4dd6fce44f72b110bc52e7fe06f6e1e"
"18","cargo cfb 0.7.3 / LICENSE","ebaac853b53fec0ed475796f533ce676912a4df9ad9d8a621fa76d5060591e10"
"19","cargo cfg-if 1.0.4 / LICENSE-MIT","378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397"
"19","cargo socket2 0.6.5 / LICENSE-MIT","378f5840b258e2779c39418f3f2d7b2ba96f1c7917dd6be0713f88305dbda397"
"20","cargo cipher 0.4.4 / LICENSE-MIT","5c7bd92d1f096f12203dc1b601e3cb17484fa1b023e30b6b8edcc80e416237ec"
"21","cargo constant_time_eq 0.3.1 / LICENSE-CC0","a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499"
"21","cargo dunce 1.0.5 / LICENSE","a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499"
"22","cargo constant_time_eq 0.3.1 / LICENSE-MIT0","9a3aeb3f63659c4c6302d315e1d98784d1e8559858a47ff9562e091bb922d28d"
"23","cargo cookie 0.18.2 / LICENSE-MIT","f28420c1906af38be726cd7842798f0194b27c41d6051c0d1e9ee348b8a4a0ea"
"24","cargo cpufeatures 0.2.17 / LICENSE-MIT","ae9baa7beea910273c2f384c2a6b721fb7bd02bda3436074a1072e4ee689f985"
"25","cargo crc 3.4.0 / LICENSE-MIT","3488679340a49ecc34d342c4009d2dabf76f4a21f12aec2ca99b15805d656544"
"26","cargo crc32fast 1.5.1 / LICENSE-MIT","61d383b05b87d78f94d2937e2580cce47226d17823c0430fbcad09596537efcf"
"27","cargo crossbeam-channel 0.5.16 / LICENSE-MIT","5734ed989dfca1f625b40281ee9f4530f91b2411ec01cb748223e7eb87e201ab"
"27","cargo crossbeam-queue 0.3.13 / LICENSE-MIT","5734ed989dfca1f625b40281ee9f4530f91b2411ec01cb748223e7eb87e201ab"
"27","cargo crossbeam-utils 0.8.22 / LICENSE-MIT","5734ed989dfca1f625b40281ee9f4530f91b2411ec01cb748223e7eb87e201ab"
"28","cargo crossbeam-channel 0.5.16 / LICENSE-THIRD-PARTY","b16db96b93b1d7cf7bea533f572091ec6bca3234fbe0a83038be772ff391a44c"
"29","cargo crypto-common 0.1.7 / LICENSE-MIT","3521672491a3479422d5fe1aca6645dd2984090f85da6e5205abfb18fb7a6897"
"30","cargo ctor 0.8.0 / LICENSE-MIT","bccaa8b6c09f94e81f06696e179dbe058464bbdfbc823b6d49cada1d71e84ac3"
"31","cargo deflate64 0.1.12 / LICENSE","86b5aedec040ac6eab419af61a8f0aea48ab0037c4b764e5cff5df15bee40df2"
"32","cargo deranged 0.5.8 / LICENSE-MIT","231c837c45eb53f108fb48929e488965bc4fcc14e9ea21d35f50e6b99d98685b"
"33","cargo digest 0.10.7 / LICENSE-MIT","9e0dfd2dd4173a530e238cb6adb37aa78c34c6bc7444e0e10c1ab5d8881f63ba"
"33","cargo hmac 0.12.1 / LICENSE-MIT","9e0dfd2dd4173a530e238cb6adb37aa78c34c6bc7444e0e10c1ab5d8881f63ba"
"34","cargo dirs 6.0.0 / LICENSE-MIT","6a2e0ade09a7d5f816f11566fee2b151b32235a7fad52b41d49cce96f833c1a9"
"34","cargo dirs-sys 0.5.0 / LICENSE-MIT","6a2e0ade09a7d5f816f11566fee2b151b32235a7fad52b41d49cce96f833c1a9"
"35","cargo dpi 0.1.2 / LICENSE","6dc0e068dcf3a5bc8e054205b85b7720e1d49265bbc64bf515d2cf79197df69a"
"35","cargo tao 0.35.3 / LICENSE","6dc0e068dcf3a5bc8e054205b85b7720e1d49265bbc64bf515d2cf79197df69a"
"36","cargo dpi 0.1.2 / LICENSE-LIBM-MIT","9eff396a99bafd208e7126602420d6864f6066c08b84485a5b032320a9c01997"
"37","cargo either 1.18.0 / LICENSE-MIT","7576269ea71f767b99297934c0b2367532690f8c4badc695edf8e04ab6a1e545"
"37","cargo serde_with 3.22.0 / LICENSE-MIT","7576269ea71f767b99297934c0b2367532690f8c4badc695edf8e04ab6a1e545"
